project,project_url,policy_url,ai_llms_allowed,disclosure_required,copyright_statement,human_in_loop,notes,github_owner,github_repo,is_github,resolved_by_hand
Linux man-pages,http://www.kernel.org/doc/man-pages/,https://git.kernel.org/pub/scm/docs/man-pages/man-pages.git/tree/CONTRIBUTING.d/ai,No,-,-,-,,,,False,False
LLVM,https://llvm.org,https://llvm.org/docs//AIToolPolicy.html,Yes,Yes,Yes,Yes,"""Using AI tools to fix issues labelled as “good first issues” is forbidden.""",llvm,llvm-project,True,True
Lobsters,https://github.com/lobsters/lobsters,https://github.com/lobsters/lobsters/blob/main/CONTRIBUTING.md#getting-oriented,No,-,Yes,-,-,lobsters,lobsters,True,False
LÖVE,https://love2d.org/,https://github.com/love2d/love#contributing,No,-,-,-,,love2d,love,True,False
Makko,https://makko.starlightnet.work,https://forge.starlightnet.work/Team/Meta/src/branch/master/Contribution-Policy-Agreement.md,No,-,-,-,-,,,False,False
Matplotlib,https://matplotlib.org,https://matplotlib.org/devdocs/devel/contribute.html#generative-ai,Yes,Yes,No,Yes,"""AI Disclosure"" secion in [PR template](https://github.com/matplotlib/matplotlib/blob/main/.github/PULL_REQUEST_TEMPLATE.md) must be filled",matplotlib,matplotlib,True,True
MDAnalysis,https://www.mdanalysis.org/,https://github.com/MDAnalysis/mdanalysis/blob/develop/AI_POLICY.md,Yes*,Yes,No,Yes,"No ""substantial"" contributions generated by AI tools.",MDAnalysis,mdanalysis,True,False
Mesa,https://mesa3d.org/,https://gitlab.freedesktop.org/mesa/mesa/-/blob/main/docs/submittingpatches.rst?ref_type=heads#id2,Yes,Yes,Yes,Yes,"Use ""Assisted-by:"" or ""Generated-by:""; do not use ""Co-authored-by:"" with AI tools.",,,False,False
mGBA,https://mgba.io,https://github.com/mgba-emu/mgba/blob/master/CONTRIBUTING.md#filing-pull-requests,No,-,-,-,-,mgba-emu,mgba,True,False
MicroPython,https://micropython.org,https://github.com/micropython/micropython/wiki/ContributorGuidelines#generative-ai-policy,Yes,No,No,Yes,,micropython,micropython,True,False
Migraine Log,https://migrainelog.zerodogg.org/en,https://gitlab.com/mglog/org.zerodogg.migraineLog/-/blob/main/CONTRIBUTING.md?ref_type=heads#use-of-generative-ai,No,-,Yes,-,-,,,False,False
Mikan,https://codeberg.org/1lab/mikan,https://codeberg.org/1lab/mikan/src/branch/main/CONTRIBUTING.md,No,-,-,-,-,,,False,False
